# Wall heat-flux
# Time        	patch         	min           	max           	integral      
0.01          	air_to_solid	-7.784983e+02	-1.253579e+02	-1.260189e-01
0.02          	air_to_solid	-5.584946e+02	1.971611e+02	-8.458572e-02
0.03          	air_to_solid	-4.605065e+02	2.886382e+02	-6.464341e-02
0.04          	air_to_solid	-4.001845e+02	3.208008e+02	-5.208990e-02
0.05          	air_to_solid	-3.592671e+02	3.340338e+02	-4.318893e-02
0.06          	air_to_solid	-3.537928e+02	3.399346e+02	-3.644956e-02
0.07          	air_to_solid	-3.522387e+02	3.428717e+02	-3.113684e-02
0.08          	air_to_solid	-3.513186e+02	3.444442e+02	-2.683452e-02
0.09          	air_to_solid	-3.507179e+02	3.453241e+02	-2.328280e-02
0.1           	air_to_solid	-3.502949e+02	3.458295e+02	-2.030850e-02
