# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	h_solver      	h_initial     	h_final       	h_iters       	h_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	rho_solver    	rho_initial   	rho_final     	rho_iters     	rho_converged 
0.00915751    	DILUPBiCGStab	1.000000e+00	5.838400e-08	7	1.000000e+00	4.345350e-08	7	1.000000e+00	7.558280e-08	7	false	DILUPBiCGStab	1.000000e+00	6.009880e-08	8	true	DICPCG	8.023340e-01	6.911460e-03	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.00995707    	DILUPBiCGStab	8.991480e-02	4.858190e-08	3	5.062560e-02	9.355350e-08	3	6.771420e-02	3.998080e-08	3	false	DILUPBiCGStab	4.077260e-02	7.579810e-08	3	true	DICPCG	2.634900e-01	1.906200e-03	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0108546     	DILUPBiCGStab	9.320420e-02	3.719400e-08	3	8.093720e-02	3.735690e-08	3	6.121490e-02	4.229340e-08	3	false	DILUPBiCGStab	3.491610e-02	5.227350e-08	3	true	DICPCG	2.838180e-01	2.414350e-03	30	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0118742     	DILUPBiCGStab	7.836330e-02	4.693330e-08	3	7.100210e-02	4.265260e-08	3	5.690560e-02	5.692880e-08	3	false	DILUPBiCGStab	3.298150e-02	6.537440e-08	3	true	DICPCG	1.526670e-01	1.453480e-03	29	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0130391     	DILUPBiCGStab	7.564810e-02	7.125560e-08	3	7.241480e-02	6.767090e-08	3	5.770810e-02	9.619560e-08	3	false	DILUPBiCGStab	3.198800e-02	9.846130e-08	3	true	DICPCG	1.057110e-01	9.514150e-04	29	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0143761     	DILUPBiCGStab	7.531020e-02	9.866500e-09	3	7.502990e-02	1.281580e-08	3	6.004440e-02	2.523190e-08	3	false	DILUPBiCGStab	3.148920e-02	2.905640e-08	3	true	DICPCG	8.378590e-02	6.284410e-04	29	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0159173     	DILUPBiCGStab	7.599600e-02	1.698940e-08	3	7.897720e-02	2.483510e-08	3	6.346830e-02	4.782890e-08	3	false	DILUPBiCGStab	3.131180e-02	4.916260e-08	3	true	DICPCG	6.717170e-02	6.294270e-04	29	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0177011     	DILUPBiCGStab	7.799480e-02	3.377010e-08	3	8.469950e-02	5.101160e-08	3	6.815300e-02	9.095020e-08	3	false	DILUPBiCGStab	3.138300e-02	8.981140e-08	3	true	DICPCG	5.871750e-02	5.520200e-04	28	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0197762     	DILUPBiCGStab	8.081160e-02	7.328410e-08	3	9.211320e-02	1.285360e-08	4	7.389160e-02	2.138880e-08	4	false	DILUPBiCGStab	3.167760e-02	2.766100e-08	4	true	DICPCG	5.361770e-02	5.347100e-04	15	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0222032     	DILUPBiCGStab	8.395450e-02	2.201640e-08	4	1.016590e-01	2.789670e-08	4	8.108300e-02	4.909600e-08	4	false	DILUPBiCGStab	3.216050e-02	6.431430e-08	4	true	DICPCG	5.147190e-02	4.760480e-04	14	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0250607     	DILUPBiCGStab	8.645950e-02	5.658030e-08	4	1.129670e-01	7.133720e-08	4	9.028200e-02	7.908190e-09	4	false	DILUPBiCGStab	3.281890e-02	3.656800e-08	4	true	DICPCG	5.140430e-02	4.677530e-04	14	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.028452      	DILUPBiCGStab	8.811540e-02	3.036400e-08	4	1.263960e-01	4.278130e-08	4	1.023740e-01	2.315650e-08	4	false	DILUPBiCGStab	3.364150e-02	9.422400e-08	4	true	DICPCG	5.314360e-02	5.171800e-04	14	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.032517      	DILUPBiCGStab	8.822310e-02	7.405560e-08	4	1.428220e-01	2.519220e-08	5	1.191590e-01	7.441990e-08	4	false	DILUPBiCGStab	3.459650e-02	7.324850e-08	5	true	DICPCG	5.617290e-02	4.929080e-04	15	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0373966     	DILUPBiCGStab	8.581950e-02	5.243340e-08	5	1.621450e-01	6.935980e-08	5	1.398720e-01	5.522580e-08	5	false	DILUPBiCGStab	3.538870e-02	7.387360e-08	5	true	DICPCG	5.969390e-02	5.888730e-04	25	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0432557     	DILUPBiCGStab	8.073170e-02	6.351850e-08	5	1.854330e-01	5.332350e-08	5	1.560570e-01	6.526370e-08	5	false	DILUPBiCGStab	3.592700e-02	2.031400e-08	6	true	DICPCG	6.349370e-02	6.017570e-04	25	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0502865     	DILUPBiCGStab	7.516810e-02	2.127980e-08	6	2.110800e-01	2.774460e-08	6	1.457360e-01	2.681900e-08	6	false	DILUPBiCGStab	3.619940e-02	3.543920e-08	6	true	DICPCG	6.652300e-02	5.811820e-04	25	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0587187     	DILUPBiCGStab	7.120660e-02	3.427480e-08	6	2.386470e-01	8.505630e-08	6	1.317280e-01	6.340600e-08	6	false	DILUPBiCGStab	3.620910e-02	5.332900e-08	6	true	DICPCG	7.008710e-02	6.493540e-04	25	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0678862     	DILUPBiCGStab	6.054390e-02	3.231330e-08	6	2.311510e-01	4.396760e-08	6	1.071770e-01	7.181610e-08	6	false	DILUPBiCGStab	3.421030e-02	6.068540e-08	6	true	DICPCG	6.321960e-02	5.829990e-04	27	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0770537     	DILUPBiCGStab	4.894550e-02	8.511750e-08	5	2.032850e-01	8.092080e-08	6	8.346050e-02	4.141860e-08	6	false	DILUPBiCGStab	3.088510e-02	5.309550e-08	6	true	DICPCG	5.377000e-02	3.972230e-04	31	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0862212     	DILUPBiCGStab	4.131050e-02	7.185040e-08	5	1.840610e-01	6.441370e-08	6	6.922150e-02	2.740990e-08	6	false	DILUPBiCGStab	2.790510e-02	4.779100e-08	6	true	DICPCG	4.844220e-02	4.032780e-04	31	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.0953887     	DILUPBiCGStab	3.577930e-02	5.843040e-08	5	1.683140e-01	5.234300e-08	6	5.910400e-02	8.414370e-08	5	false	DILUPBiCGStab	2.529050e-02	4.367400e-08	6	true	DICPCG	4.258040e-02	3.825200e-04	31	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.104556      	DILUPBiCGStab	3.165960e-02	4.948600e-08	5	1.571640e-01	4.517370e-08	6	5.229500e-02	7.027990e-08	5	false	DILUPBiCGStab	2.297430e-02	4.036050e-08	6	true	DICPCG	3.837180e-02	3.616240e-04	31	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.113724      	DILUPBiCGStab	2.824350e-02	4.250740e-08	5	1.483890e-01	3.987030e-08	6	4.720080e-02	6.095550e-08	5	false	DILUPBiCGStab	2.091080e-02	3.756680e-08	6	true	DICPCG	3.468160e-02	3.378060e-04	31	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.122891      	DILUPBiCGStab	2.536250e-02	3.719560e-08	5	1.406800e-01	3.594600e-08	6	4.307970e-02	5.429540e-08	5	false	DILUPBiCGStab	1.905600e-02	3.512530e-08	6	true	DICPCG	3.140750e-02	3.139900e-04	31	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.132059      	DILUPBiCGStab	2.288360e-02	8.853020e-08	5	1.333150e-01	3.295230e-08	6	3.963720e-02	4.879030e-08	5	false	DILUPBiCGStab	1.737520e-02	3.295620e-08	6	true	DICPCG	2.855020e-02	2.295470e-04	32	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.141226      	DILUPBiCGStab	2.067260e-02	7.830580e-08	5	1.260020e-01	3.042410e-08	6	3.646770e-02	4.413050e-08	5	false	DILUPBiCGStab	1.584840e-02	3.098880e-08	6	true	DICPCG	2.590520e-02	2.156420e-04	32	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.150394      	DILUPBiCGStab	1.873830e-02	6.936610e-08	5	1.188990e-01	2.827970e-08	6	3.370280e-02	9.871300e-08	5	false	DILUPBiCGStab	1.445910e-02	2.916630e-08	6	true	DICPCG	2.354500e-02	2.024840e-04	32	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.159561      	DILUPBiCGStab	1.701270e-02	6.152390e-08	5	1.119280e-01	9.501180e-08	5	3.118780e-02	8.975830e-08	5	false	DILUPBiCGStab	1.319470e-02	2.745650e-08	6	true	DICPCG	2.143210e-02	1.900150e-04	32	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.168729      	DILUPBiCGStab	1.549010e-02	5.336400e-08	5	1.051580e-01	8.899030e-08	5	2.893590e-02	8.250720e-08	5	false	DILUPBiCGStab	1.204330e-02	2.583220e-08	6	true	DICPCG	1.961320e-02	1.792780e-04	32	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.177896      	DILUPBiCGStab	1.407450e-02	4.950910e-08	5	9.876810e-02	8.379830e-08	5	2.674240e-02	7.459240e-08	5	false	DILUPBiCGStab	1.099410e-02	2.427360e-08	6	true	DICPCG	1.776950e-02	1.669600e-04	32	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.187064      	DILUPBiCGStab	1.281330e-02	4.438380e-08	5	9.225330e-02	7.802690e-08	5	2.467480e-02	6.778590e-08	5	false	DILUPBiCGStab	1.003730e-02	2.277760e-08	6	true	DICPCG	1.620490e-02	1.562300e-04	32	true	diagonal	0.000000e+00	0.000000e+00	0	true
