# Wall heat-flux
# Time        	patch         	min           	max           	integral      
0.01          	solid_to_air	1.253843e+02	7.784564e+02	1.260064e-01
0.02          	solid_to_air	-1.971523e+02	5.584618e+02	8.457706e-02
0.03          	solid_to_air	-2.886410e+02	4.604820e+02	6.463624e-02
0.04          	solid_to_air	-3.208086e+02	4.001609e+02	5.208370e-02
0.05          	solid_to_air	-3.340437e+02	3.592435e+02	4.318353e-02
0.06          	solid_to_air	-3.399449e+02	3.537651e+02	3.644485e-02
0.07          	solid_to_air	-3.428818e+02	3.522139e+02	3.113272e-02
0.08          	solid_to_air	-3.444537e+02	3.512966e+02	2.683092e-02
0.09          	solid_to_air	-3.453329e+02	3.506985e+02	2.327964e-02
0.1           	solid_to_air	-3.458376e+02	3.502779e+02	2.030572e-02
