# Solver information
# Time        	h_solver      	h_initial     	h_final       	h_iters       	h_converged   
0.000909091   	DICPCG	1.000000e+00	7.160900e-07	20	true
0.00181818    	DICPCG	2.295880e-01	8.719320e-07	16	true
0.00272727    	DICPCG	1.928450e-01	6.210050e-07	16	true
0.00363636    	DICPCG	1.345990e-01	8.888500e-07	15	true
0.00454545    	DICPCG	7.455490e-02	5.267910e-07	15	true
0.00545455    	DICPCG	7.315300e-02	5.016060e-07	15	true
0.00636364    	DICPCG	5.408840e-02	9.545400e-07	14	true
0.00727273    	DICPCG	5.487750e-02	9.354640e-07	14	true
0.00818182    	DICPCG	4.867170e-02	8.386190e-07	14	true
0.00909091    	DICPCG	4.685980e-02	7.777680e-07	14	true
0.01          	DICPCG	4.508970e-02	7.399160e-07	14	true
0.0109091     	DICPCG	4.423090e-02	7.159310e-07	14	true
0.0118182     	DICPCG	4.330480e-02	6.942490e-07	14	true
0.0127273     	DICPCG	4.231770e-02	6.737190e-07	14	true
0.0136364     	DICPCG	4.172780e-02	6.582930e-07	14	true
0.0145455     	DICPCG	4.126200e-02	6.448440e-07	14	true
0.0154545     	DICPCG	4.084300e-02	6.330770e-07	14	true
0.0163636     	DICPCG	4.042460e-02	6.224440e-07	14	true
0.0172727     	DICPCG	4.006140e-02	6.129480e-07	14	true
0.0181818     	DICPCG	3.974520e-02	6.043770e-07	14	true
0.0190909     	DICPCG	3.945640e-02	5.966190e-07	14	true
0.02          	DICPCG	3.918450e-02	5.894280e-07	14	true
0.0209091     	DICPCG	3.892920e-02	5.827140e-07	14	true
0.0218182     	DICPCG	3.868900e-02	5.764190e-07	14	true
0.0227273     	DICPCG	3.845780e-02	5.704640e-07	14	true
0.0236364     	DICPCG	3.823440e-02	5.647990e-07	14	true
0.0245455     	DICPCG	3.801650e-02	5.593790e-07	14	true
0.0254545     	DICPCG	3.780250e-02	5.541590e-07	14	true
0.0263636     	DICPCG	3.759140e-02	5.491320e-07	14	true
0.0272727     	DICPCG	3.738090e-02	5.442480e-07	14	true
0.0281818     	DICPCG	3.716910e-02	5.394930e-07	14	true
0.0290909     	DICPCG	3.695470e-02	5.348390e-07	14	true
0.03          	DICPCG	3.673570e-02	5.302440e-07	14	true
0.0309091     	DICPCG	3.651270e-02	5.257070e-07	14	true
0.0318182     	DICPCG	3.628460e-02	5.212130e-07	14	true
0.0327273     	DICPCG	3.604930e-02	5.167360e-07	14	true
0.0336364     	DICPCG	3.580640e-02	5.122520e-07	14	true
0.0345455     	DICPCG	3.555860e-02	5.077830e-07	14	true
0.0354545     	DICPCG	3.530380e-02	5.033260e-07	14	true
0.0363636     	DICPCG	3.504050e-02	4.988200e-07	14	true
0.0372727     	DICPCG	3.476950e-02	4.942950e-07	14	true
0.0381818     	DICPCG	3.449200e-02	4.897490e-07	14	true
0.0390909     	DICPCG	3.420690e-02	4.851590e-07	14	true
0.04          	DICPCG	3.391290e-02	4.804990e-07	14	true
0.0409091     	DICPCG	3.361130e-02	9.908770e-07	13	true
0.0418182     	DICPCG	3.330170e-02	9.801800e-07	13	true
0.0427273     	DICPCG	3.298360e-02	9.694910e-07	13	true
0.0436364     	DICPCG	3.265800e-02	9.587280e-07	13	true
0.0445455     	DICPCG	3.232360e-02	9.478160e-07	13	true
0.0454545     	DICPCG	3.198160e-02	9.368050e-07	13	true
0.0463636     	DICPCG	3.163320e-02	9.257210e-07	13	true
0.0472727     	DICPCG	3.127850e-02	9.145630e-07	13	true
0.0481818     	DICPCG	3.091800e-02	9.033390e-07	13	true
0.0490909     	DICPCG	3.055080e-02	8.920110e-07	13	true
0.05          	DICPCG	3.017810e-02	8.806280e-07	13	true
0.0509091     	DICPCG	2.980130e-02	8.692170e-07	13	true
0.0518182     	DICPCG	2.942000e-02	8.577650e-07	13	true
0.0527273     	DICPCG	2.903420e-02	8.462620e-07	13	true
0.0536364     	DICPCG	2.864420e-02	8.347130e-07	13	true
0.0545455     	DICPCG	2.825300e-02	8.231970e-07	13	true
0.0554545     	DICPCG	2.785890e-02	8.116500e-07	13	true
0.0563636     	DICPCG	2.746410e-02	8.001270e-07	13	true
0.0572727     	DICPCG	2.707090e-02	7.886910e-07	13	true
0.0581818     	DICPCG	2.667910e-02	7.773350e-07	13	true
0.0590909     	DICPCG	2.629050e-02	7.661090e-07	13	true
0.06          	DICPCG	2.590430e-02	7.549790e-07	13	true
0.0609091     	DICPCG	2.552250e-02	7.440050e-07	13	true
0.0618182     	DICPCG	2.514140e-02	7.330770e-07	13	true
0.0627273     	DICPCG	2.476190e-02	7.222170e-07	13	true
0.0636364     	DICPCG	2.438670e-02	7.115010e-07	13	true
0.0645455     	DICPCG	2.401130e-02	7.007940e-07	13	true
0.0654545     	DICPCG	2.364040e-02	6.902280e-07	13	true
